name,link,num_nodes,num_edges,services,goals
Aetion: Deploy Applications  Provision Cloud Resources with AWS Developer Tools,https://www.youtube.com/watch?v=6YkguepAQuQ,10,10,"VPC,CodePipeline,CodeCommit,CloudFormation,IAM,ALB,ECR,ECS,CodeBuild,UserCompanyDeveloper",control
Mueller Water Products: Scalable Ingestion of Sensor Data for Municipal Water Conservation LIVE,https://www.youtube.com/watch?v=MbkLJ62jtMc,6,4,"DynamoDB,UserCompanyAPI,SQS,Lambda,SNS,RDS",control
Innovapost: Scaling to 5M Package Deliveries with Serverless,https://www.youtube.com/watch?v=wE3TmHxyRdA,8,9,"SQS,ApiGateway,S3,Lambda,RDS",control
BASF Digital Farming: Productionizing ML with a Cross-Account Model Deployment Solution,https://www.youtube.com/watch?v=DAJZAygxDZA,8,15,"ThirdParty,UserCompanyAnalyst,ModelRegistry,UserConsumerMobile,SageMaker,UserCompanyDeveloper",control
Vizio: Smart TV Analytics at Scale,https://www.youtube.com/watch?v=BlCXEMp_lqY,6,9,"RedShift,Firehose,QuickSight,S3,Kinesis,UserConsumerTV",data_ingestion
Linke - a Syntax Company: Building a Business Continuity Framework for SAP (Spanish),https://www.youtube.com/watch?v=CsD5bmM6mpY,6,7,"EC2,SystemsManager,Lambda,CloudWatch,SNS,SAP",control
Lancom Technology: Building a Scalable Video Conferencing Application,https://www.youtube.com/watch?v=qIO_54vJ_JI,8,7,"Fargate,EC2,UserCompanyAgent,SQS,UserConsumerMobile,S3",data_ingestion
CM Group: Building an Available Scalable Reliable Email Delivery System,https://www.youtube.com/watch?v=zhCNn7v7mvs,8,11,"UserConsumerAPI,ElastiCache,EC2,NLB,Firehose,Aurora,S3",interactive
William Hill: Highperformance DDOS Protection with AWS,https://www.youtube.com/watch?v=d0EE1HuZSEU,13,21,"VPC,ThirdParty,DynamoDB,EC2,CloudFront,ELB,ShieldAdvanced,WAF,VPCPeering,S3,Lambda,Route53,DirectConnect",control
ContentWise: How we Use Amazon SageMaker in Production Italian,https://www.youtube.com/watch?v=66fPHLmvikk,7,8,"EC2,UserCompanyAnalyst,ECR,SageMaker,S3,Lambda",control
Seera Group: Transforming Online Travel Booking with Microservices,https://www.youtube.com/watch?v=a6kqyqTNJM4,11,15,"ThirdParty,EC2,CloudFront,CloudWatch,UserConsumerWeb,S3,Lambda,EKS,RDS",interactive
Launchmetrics: How Launchmetrics Produces Fashion Luxury and Beauty Data Insights for 1B Users,https://www.youtube.com/watch?v=PBa68gCG0Uk,7,7,"ThirdParty,EC2,OpenSearch,SQS,Aurora,Kinesis",data_ingestion
7-Eleven: Innovation with Serverless for Cash-Based Digital Wallet,https://www.youtube.com/watch?v=HcmEFZukA-Y,9,15,"ThirdParty,UserConsumerPOS,Pinpoint,SQS,ApiGateway,UserConsumerMobile,EventBridge,Lambda,MongoDBAtlas",interactive
Autodesk Data Platform: Product Usage RealTime Analytics Using an Event Driven Architecture,https://www.youtube.com/watch?v=ZNt9qI_LlPk,5,10,"DynamoDB,S3,Lambda,ECS,SNS",data_ingestion
Credimi: Processing and Metadata Extraction of Invoices for Factoring Italian,https://www.youtube.com/watch?v=O5Sn5QCEAzE,7,9,"EC2,ELB,UserConsumerWeb,S3,Lambda,RDS",data_ingestion
Social Quantum: Using Serverless in Gaming,https://www.youtube.com/watch?v=fSV0u48sEVg,7,11,"Fargate,ElastiCache,ALB,UserConsumerMobile,Lambda,CloudWatch,RDS",interactive
ACV Auctions: Learn How ACV Scales to Serve Hundreds of Millions of Auction Requests Per Month,https://www.youtube.com/watch?v=tBavPTWewvI,6,9,"MSK,UserCompanyAnalyst,ELB,UserConsumerWebMobile,EKS,RDS",interactive
AQR: Using ECS to Provide Dev Teams Security & Authentication on a Scalable Container Platform,https://www.youtube.com/watch?v=ftIdBG-UgFY,8,9,"VPC,ThirdParty,EC2,ServiceCatalog,ALB,ACM,ECR,ECS",control
CMD by Mantel Group: Ensuring Safe Vessel Transit at Sea Ports with Data,https://www.youtube.com/watch?v=gcgtLDB0cKA,13,18,"MSK,DynamoDB,Firehose,DynamoDBStream,Athena,UserConsumerWeb,ApiGateway,S3,Lambda,ECS,UserCompanyEdge","data_ingestion,interactive"
NHS Digital: From 137 Minutes to 137 Seconds Using EMR,https://www.youtube.com/watch?v=SSWwnNVYi_Q,8,10,"EC2,KMS,EMR,UserConsumerWeb,DirectoryService,S3,RDS",data_ingestion
Electroneum: Mobile Cryptocurrency Mining!,https://www.youtube.com/watch?v=4zVB5RbSTCo,9,14,"DataPipeline,DynamoDB,EC2,WAF,Athena,ApiGateway,UserConsumerMobile,Lambda,RDS",data_ingestion
INT: Seismic Data Visualization Platform Designed for Cloud,https://www.youtube.com/watch?v=QM96Fv_NAnw,7,6,"ThirdParty,EC2,UserConsumerWeb,ApiGateway,S3,Cognito,RDS",interactive
Simpego: Swiss InsurTech Running All Core Business Processes on AWS (German),https://www.youtube.com/watch?v=fTxvwVj02P0,8,10,"ThirdParty,Glue,Firehose,Athena,UserConsumerWeb,S3,EKS","data_ingestion,interactive"
FINRA: Petabyte-Scale Data Analysis on AWS,https://www.youtube.com/watch?v=Vrx9csoawWc,7,21,"ThirdParty,RedShift,EMR,UserConsumerWeb,S3,ECS",data_ingestion
Haptik: Data Lake for Conversational AI,https://www.youtube.com/watch?v=r2xfxJ-sXMY,9,10,"ThirdParty,Glue,EC2,OpenSearch,UserConsumerWebMobile,Athena,S3,Lambda,Kinesis",data_ingestion
ADP: Unmatched People Data for Extraordinary Outcomes,https://www.youtube.com/watch?v=KiH7hVJKzns,8,14,"MSK,ElastiCache,OpenSearch,ELB,UserConsumerWebMobile,ApiGateway,Aurora,EKS",interactive
amazee.io: Kubernetes Deployments Made Easy,https://www.youtube.com/watch?v=90rWUjKjnAE,8,10,"ThirdParty,EC2,UserConsumerDeveloper,EBS,Aurora,EFS,EKS",control
3M: Building an HPC Modeling Platform to Simplify AWS Usage for Scientists and Engineers,https://www.youtube.com/watch?v=CTG23wd9H74,8,11,"StepFunctions,DynamoDB,EC2,CloudFront,UserCompanyAnalyst,ApiGateway,S3,ECS",interactive
Fundbox: Simplifying Ways to Query and Analyze Data by Different Personas - Go Serverless!,https://www.youtube.com/watch?v=Qz8uXtDC1bY,14,17,"StepFunctions,Fargate,ThirdParty,ApiGateway,ECR,S3,Lambda,CloudWatch,SNS,UserCompanyDeveloper",compute_intensive
MailUp Group: Marketing Campaign Planning and Management Italian,https://www.youtube.com/watch?v=HwHVFWdczVw,9,9,"ElastiCache,DynamoDB,CloudFront,UserConsumerWebMobile,ALB,SQS,S3,ECS,RDS",interactive
New Relic: Automated Monitoring on AWS with New Relic Synthetics,https://www.youtube.com/watch?v=FmhL2334GIY,10,11,"GlobalAccelerator,UserCompanyWebsite,EC2,SQS,ECS,UserCompanyDeveloper",other
"Ookla: Speedtest Intelligence Process 4,000 Reports per Second While Providing Near Real-time Insights",https://www.youtube.com/watch?v=kHPGZOpbnok,8,12,"RedShift,Firehose,Athena,UserConsumerWeb,S3,Lambda,Kinesis,RDS",data_ingestion
Nielsen: Processing 55TB of Data Per Day with AWS Lambda,https://www.youtube.com/watch?v=Jkx6kVbDpL4,13,17,"UserCompanyAnalyst,Lambda,EMR,SQS,S3,UserCompanyDataStream,RDS",data_ingestion
